season,round,race_name,race_date,circuit_id,country,driver_id,driver_code,given_name,family_name,constructor_id,constructor_name,grid,quali_position,finish_position,points,status,is_dnf,median_lap_time_seconds,mean_lap_time_seconds,total_laps_logged,avg_running_position,avg_finish_position_prior,finish_position_std_prior,recent_form_last_3,recent_points_last_3,dnf_rate_prior,avg_quali_position_prior,avg_lap_pace_prior,team_points_index_prior,team_finish_position_prior,track_avg_finish_prior,track_avg_points_prior,driver_consistency_score,qualifying_vs_grid_gap,is_top3,is_winner,top3_probability,winner_probability,driver,predicted_podium_position
2026,7,Saudi Arabian Grand Prix,2026-04-17 13:30:00+00:00,Jeddah,Saudi Arabia,max_verstappen,VER,Max,Verstappen,red_bull,Red Bull,4,4,0,0,Unknown,0,100.2765,100.2765,2.0,6.0,3.4,5.561774297230456,2.333333333333333,18.33333333333333,0.0,3.4444444444444446,144.357,16.333333333333332,4.611111111111111,,,5.561774297230456,0,0,0,0.71,0.0020060066252169583,Max Verstappen,1
2026,7,Saudi Arabian Grand Prix,2026-04-17 13:30:00+00:00,Jeddah,Saudi Arabia,russell,RUS,George,Russell,mercedes,Mercedes,2,2,0,0,Unknown,0,98.8725,98.8725,2.0,3.0,5.666666666666667,3.3911649915626345,4.0,12.666666666666666,0.0,6.75,146.385,11.157894736842104,4.842105263157895,,,3.3911649915626345,0,0,0,0.68,0.0004612457292188663,George Russell,2
2026,7,Saudi Arabian Grand Prix,2026-04-17 13:30:00+00:00,Jeddah,Saudi Arabia,piastri,PIA,Oscar,Piastri,mclaren,McLaren,1,1,0,0,Unknown,0,97.9475,97.9475,2.0,1.0,8.4,7.231873892705818,4.666666666666667,13.0,0.0,8.25,145.175,8.529411764705882,7.764705882352941,,,7.231873892705818,0,0,0,0.565,0.0018640758803827305,Oscar Piastri,3
